College,Degree,Hours_Required,Categories,Delivery,Delivery_Method_1,Delivery_Method_2,Delivery_Method_3,Category_1,Category_2,Category_3,On-Campus,Online,Hybrid,Minor,Major,Undergraduate,Certificate_Endorsement,Associate,Graduate
Dempsey College of L&PA,Minor in Asian Studies,18,"Minor, Undergraduate",On-Campus,On-Campus,,,Minor,Undergraduate,,Yes,No,No,Yes,No,Yes,No,No,No
Dempsey College of L&PA,Minor in Digital Photography and Film,18,"Minor, Undergraduate",On-Campus,On-Campus,,,Minor,Undergraduate,,Yes,No,No,Yes,No,Yes,No,No,No
Dempsey College of L&PA,Minor in French,12-24,"Minor, Undergraduate",On-Campus,On-Campus,,,Minor,Undergraduate,,Yes,No,No,Yes,No,Yes,No,No,No
Dempsey College of L&PA,Minor in Geography,18,"Minor, Undergraduate",On-Campus,On-Campus,,,Minor,Undergraduate,,Yes,No,No,Yes,No,Yes,No,No,No
Dempsey College of L&PA,Minor in Juvenile Justice,18,"Minor, Undergraduate",On-Campus,On-Campus,,,Minor,Undergraduate,,Yes,No,No,Yes,No,Yes,No,No,No
Dempsey College of L&PA,Minor in Philosophy and Religious Studies,18,"Minor, Undergraduate",On-Campus,On-Campus,,,Minor,Undergraduate,,Yes,No,No,Yes,No,Yes,No,No,No
Dempsey College of L&PA,Minor in Teaching English as a Second Language,18,"Minor, Undergraduate",On-Campus,On-Campus,,,Minor,Undergraduate,,Yes,No,No,Yes,No,Yes,No,No,No
College of Education,Music Education (Instrumental) BFA,125,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Education,Music Education (Vocal) BFA,124-125,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,Music Performance (Instrumental) BFA,120-122,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,Music Performance (Vocal) BFA,120-122,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Music with Studies in Business BFA,126-129,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,Musical Theatre BFA,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,Political Science,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Pre-Art Therapy BFA,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,Psychology,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Social Work,120,"Major, Minor, Undergraduate","Hybrid, On-Campus",Hybrid,On-Campus,,Major,Minor,Undergraduate,Yes,No,Yes,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Studio Art BFA,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,Theatre BFA,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Dempsey College of L&PA,University Studies,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Dempsey College of L&PA,University Studies (Associates),60,Associate,On-Campus,On-Campus,,,Associate,,,Yes,No,No,No,No,No,No,Yes,No
Rankin College of Buisiness,Accounting,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Science and Engineering,Agricultural Business,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Education,Agricultural Education,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Agriculture (Associates),62,Associate,On-Campus,On-Campus,,,Associate,,,Yes,No,No,No,No,No,No,Yes,No
College of Science and Engineering,Agriculture: Animal Science,121,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Science and Engineering,Agriculture: Plant Science,122,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Agriculture: Poultry Science,120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Agriculture: Pre-Veterinary,127,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
Rankin College of Buisiness,BBA/MBA (4+1 program),150,"Graduate, Undergraduate","On-Campus, Online",On-Campus,Online,,Graduate,Undergraduate,,Yes,Yes,No,No,No,Yes,No,No,Yes
College of Science and Engineering,Biological Sciences (3+2 Program),121,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Biological Sciences (Pre-Health),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Biological Sciences (Wildlife and Conservation Biology),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Biology,120,"Major, Minor, Undergraduate",On-Campus,On-Campus,,,Major,Minor,Undergraduate,Yes,No,No,Yes,Yes,Yes,No,No,No
College of Science and Engineering,Biology (Marine Biology),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
Rankin College of Buisiness,Business Administration (Associates),61,"Associate, Undergraduate",On-Campus,On-Campus,,,Associate,Undergraduate,,Yes,No,No,No,No,Yes,No,Yes,No
Rankin College of Buisiness,Business Leadership Graduate Certificate,12,"Certificate / Endorsement, Graduate","On-Campus, Online",On-Campus,Online,,Certificate / Endorsement,Graduate,,Yes,Yes,No,No,No,No,Yes,No,Yes
College of Education,Certificate of Proficiency in Teaching,9,"Certificate / Endorsement, Undergraduate",On-Campus,On-Campus,,,Certificate / Endorsement,Undergraduate,,Yes,No,No,No,No,Yes,Yes,No,No
College of Science and Engineering,Chemistry (3+2 Professional Program),120,"Major, Undergraduate",On-Campus,On-Campus,,,Major,Undergraduate,,Yes,No,No,No,Yes,Yes,No,No,No
College of Science and Engineering,Chemistry (Associates),60,"Associate, Undergraduate",On-Campus,On-Campus,,,Associate,Undergraduate,,Yes,No,No,No,No,Yes,No,Yes,No
